x,y,u
0.353535,0.010101,0.00316204
0.363636,0.010101,0.0031871
0.373737,0.010101,0.00321023
0.383838,0.010101,0.00323144
0.393939,0.010101,0.00325078
0.40404,0.010101,0.00326827
0.414141,0.010101,0.00328394
0.424242,0.010101,0.00329782
0.434343,0.010101,0.00330991
0.444444,0.010101,0.00332025
0.454545,0.010101,0.00332884
0.464646,0.010101,0.0033357
0.474747,0.010101,0.00334083
0.484848,0.010101,0.00334425
0.494949,0.010101,0.00334596
0.505051,0.010101,0.00334596
0.515152,0.010101,0.00334425
0.525253,0.010101,0.00334083
0.535354,0.010101,0.0033357
0.545455,0.010101,0.00332884
0.555556,0.010101,0.00332025
0.565657,0.010101,0.00330991
0.575758,0.010101,0.00329782
0.585859,0.010101,0.00328394
0.59596,0.010101,0.00326827
0.606061,0.010101,0.00325078
0.616162,0.010101,0.00323144
0.626263,0.010101,0.00321023
0.636364,0.010101,0.0031871
0.646465,0.010101,0.00316204
0.656566,0.010101,0.00313499
0.666667,0.010101,0.00310591
0.676768,0.010101,0.00307477
0.686869,0.010101,0.0030415
0.69697,0.010101,0.00300604
0.707071,0.010101,0.00296835
0.717172,0.010101,0.00292835
0.727273,0.010101,0.00288598
0.737374,0.010101,0.00284114
0.747475,0.010101,0.00279376
0.757576,0.010101,0.00274375
0.767677,0.010101,0.00269099
0.777778,0.010101,0.00263538
0.787879,0.010101,0.00257679
0.79798,0.010101,0.0025151
0.808081,0.010101,0.00245014
0.818182,0.010101,0.00238174
0.828283,0.010101,0.00230974
0.838384,0.010101,0.0022339
0.848485,0.010101,0.002154
0.858586,0.010101,0.00206977
0.868687,0.010101,0.00198089
0.878788,0.010101,0.00188703
0.888889,0.010101,0.00178775
0.89899,0.010101,0.00168257
0.909091,0.010101,0.0015709
0.919192,0.010101,0.00145202
0.929293,0.010101,0.00132503
0.939394,0.010101,0.00118876
0.949495,0.010101,0.00104168
0.959596,0.010101,0.000881639
0.969697,0.010101,0.000705426
0.979798,0.010101,0.000507853
0.989899,0.010101,0.000279433
1,0.010101,0
0,0.020202,0
0.010101,0.020202,0.000507853
0.020202,0.020202,0.000944527
0.030303,0.020202,0.00133019
0.040404,0.020202,0.00167742
0.0505051,0.020202,0.00199431
0.0606061,0.020202,0.00228632
0.0707071,0.020202,0.00255731
0.0808081,0.020202,0.00281014
0.0909091,0.020202,0.003047
0.10101,0.020202,0.00326962
0.111111,0.020202,0.00347939
0.121212,0.020202,0.00367746
0.131313,0.020202,0.00386477
0.141414,0.020202,0.00404216
0.151515,0.020202,0.00421032
0.161616,0.020202,0.00436985
0.171717,0.020202,0.00452129
0.181818,0.020202,0.0046651
0.191919,0.020202,0.0048017
0.20202,0.020202,0.00493145
0.212121,0.020202,0.0050547
0.222222,0.020202,0.00517173
0.232323,0.020202,0.00528283
0.242424,0.020202,0.00538823
0.252525,0.020202,0.00548816
0.262626,0.020202,0.00558283
0.272727,0.020202,0.00567241
0.282828,0.020202,0.00575709
0.292929,0.020202,0.00583701
0.30303,0.020202,0.00591233
0.313131,0.020202,0.00598317
0.323232,0.020202,0.00604966
0.333333,0.020202,0.0061119
0.343434,0.020202,0.00617001
0.353535,0.020202,0.00622406
0.363636,0.020202,0.00627416
