x,y,u
0.02,0.04,0.050342123580732076
0.04,0.04,0.07855617635333981
0.06,0.04,0.09462584676128152
0.08,0.04,0.10393170740160372
0.1,0.04,0.10939829282031638
0.12,0.04,0.1126471811246658
0.14,0.04,0.11459619924990423
0.16,0.04,0.11577426290372611
0.18,0.04,0.11649070914512563
0.2,0.04,0.11692862634885406
0.22,0.04,0.1171974278197197
0.24,0.04,0.11736301202439482
0.26,0.04,0.11746532447530061
0.28,0.04,0.11752870823063982
0.3,0.04,0.1175680646127646
0.32,0.04,0.11759254989868476
0.34,0.04,0.11760780837968753
0.36,0.04,0.11761732881993192
0.38,0.04,0.11762327225167504
0.4,0.04,0.117626979040605
0.42,0.04,0.11762928032202397
0.44,0.04,0.11763068946177263
0.46,0.04,0.11763151943270636
0.48,0.04,0.11763195391884936
0.5,0.04,0.11763208883336944
0.52,0.04,0.1176319539188494
0.54,0.04,0.11763151943270637
0.56,0.04,0.11763068946177258
0.58,0.04,0.11762928032202398
0.6,0.04,0.11762697904060507
0.62,0.04,0.11762327225167508
0.64,0.04,0.11761732881993195
0.66,0.04,0.11760780837968751
0.68,0.04,0.1175925498986848
0.7000000000000001,0.04,0.11756806461276456
0.72,0.04,0.11752870823063975
0.74,0.04,0.11746532447530059
0.76,0.04,0.11736301202439485
0.78,0.04,0.1171974278197197
0.8,0.04,0.11692862634885409
0.8200000000000001,0.04,0.11649070914512569
0.84,0.04,0.11577426290372611
0.86,0.04,0.11459619924990425
0.88,0.04,0.11264718112466583
0.9,0.04,0.10939829282031643
0.92,0.04,0.10393170740160375
0.9400000000000001,0.04,0.09462584676128152
0.96,0.04,0.0785561763533398
0.98,0.04,0.050342123580732076
1.0,0.04,0.0
0.0,0.06,0.0
0.02,0.06,0.05938449336157679
0.04,0.06,0.09462584676128152
0.06,0.06,0.11555617928086204
0.08,0.06,0.12804212972852877
0.1,0.06,0.13553315462048254
0.12,0.06,0.140053559116278
0.14,0.06,0.14279610058863784
0.16,0.06,0.144468037210836
0.18,0.06,0.14549161821614998
0.2,0.06,0.14612058348390172
0.22,0.06,0.146508312850177
0.24,0.06,0.14674800464213145
0.26,0.06,0.14689654721073192
0.28,0.06,0.14698880313314608
0.3,0.06,0.1470462109460237
0.32,0.06,0.14708199388956
0.34,0.06,0.14710432936466977
0.36,0.06,0.14711828561661952
0.38,0.06,0.14712700938575654
0.4,0.06,0.1471324563591343
0.42,0.06,0.1471358413430971
0.44,0.06,0.1471379158149375
0.46,0.06,0.1471391384924795
0.48,0.06,0.14713977886966126
0.5,0.06,0.14713997776715998
0.52,0.06,0.1471397788696613
0.54,0.06,0.14713913849247953
0.56,0.06,0.1471379158149375
0.58,0.06,0.1471358413430971
0.6,0.06,0.14713245635913436
0.62,0.06,0.14712700938575665
0.64,0.06,0.14711828561661972
0.66,0.06,0.14710432936466986
0.68,0.06,0.14708199388956003
0.7000000000000001,0.06,0.1470462109460236
0.72,0.06,0.14698880313314602
0.74,0.06,0.14689654721073186
0.76,0.06,0.1467480046421314
0.78,0.06,0.14650831285017696
0.8,0.06,0.14612058348390175
0.8200000000000001,0.06,0.14549161821615003
0.84,0.06,0.14446803721083604
0.86,0.06,0.14279610058863784
0.88,0.06,0.140053559116278
0.9,0.06,0.13553315462048254
0.92,0.06,0.1280421297285288
0.9400000000000001,0.06,0.11555617928086205
0.96,0.06,0.0946258467612815
0.98,0.06,0.05938449336157678
1.0,0.06,0.0
0.0,0.08,0.0
0.02,0.08,0.06444690177660894
0.04,0.08,0.10393170740160373
0.06,0.08,0.1280421297285288
0.08,0.08,0.14275590355687257
0.1,0.08,0.1517452677409036
0.12,0.08,0.1572485119545814
0.14,0.08,0.16062582689526073
0.16,0.08,0.1627037745769973
0.18,0.08,0.16398546666796665
0.2,0.08,0.1647778932172062
0.22,0.08,0.16526889802499045
0.24,0.08,0.16557374741164832
0.26,0.08,0.16576336603449587
0.28,0.08,0.1658815067718181
0.3,0.08,0.16595522433782875
0.32,0.08,0.16600128412677384
0.34,0.08,0.16603009544574604
0.36,0.08,0.16604813201944407
0.38,0.08,0.16605942519274872
0.4,0.08,0.1660664869389054
0.42,0.08,0.16607088114491203
0.44,0.08,0.1660735771253882
0.46,0.08,0.16607516755110885
0.48,0.08,0.16607600107408846
0.5,0.08,0.16607626004937986
0.52,0.08,0.16607600107408846
0.54,0.08,0.16607516755110888
0.56,0.08,0.16607357712538823
0.58,0.08,0.16607088114491203
0.6,0.08,0.16606648693890547
0.62,0.08,0.16605942519274886
0.64,0.08,0.1660481320194443
0.66,0.08,0.16603009544574615
0.68,0.08,0.16600128412677384
0.7000000000000001,0.08,0.16595522433782878
0.72,0.08,0.16588150677181812
0.74,0.08,0.16576336603449582
0.76,0.08,0.16557374741164832
0.78,0.08,0.1652688980249904
0.8,0.08,0.16477789321720626
0.8200000000000001,0.08,0.16398546666796665
0.84,0.08,0.16270377457699736
0.86,0.08,0.16062582689526078
0.88,0.08,0.15724851195458145
0.9,0.08,0.1517452677409036
0.92,0.08,0.14275590355687257
0.9400000000000001,0.08,0.12804212972852877
0.96,0.08,0.1039317074016037
0.98,0.08,0.06444690177660893
1.0,0.08,0.0
0.0,0.1,0.0
0.02,0.1,0.06736078669857698
0.04,0.1,0.10939829282031645
0.06,0.1,0.1355331546204826
0.08,0.1,0.15174526774090363
0.1,0.1,0.16179255437985868
0.12,0.1,0.1680190964567997
0.14,0.1,0.17188008583987857
0.16,0.1,0.1742765224493254
0.18,0.1,0.17576567399510623
0.2,0.1,0.17669220333540747
0.22,0.1,0.17726941822592823
0.24,0.1,0.17762947042730542
0.26,0.1,0.17785433595068423
0.28,0.1,0.17799493493616547
0.3,0.1,0.1780829403742652
0.32,0.1,0.17813807965931516
0.34,0.1,0.17817265536124569
0.36,0.1,0.17819434822655097
0.38,0.1,0.1782079574654387
0.4,0.1,0.17821648244660765
0.42,0.1,0.17822179540123975
0.44,0.1,0.17822505941567218
0.46,0.1,0.17822698702270098
0.48,0.1,0.17822799804102152
0.5,0.1,0.17822831229205857
0.52,0.1,0.17822799804102155
0.54,0.1,0.17822698702270098
0.56,0.1,0.17822505941567215
0.58,0.1,0.1782217954012398
0.6,0.1,0.1782164824466077
0.62,0.1,0.1782079574654388
